,search_title,year
237,Blindness,2008
238,The Blind Side,2009
239,Dave Chappelle's Block Party,2006
240,Blood Diamond,2006
241,BloodRayne,2006
242,Blood Work,2002
243,Blow,2001
244,Blue Crush,2002
245,Blue Streak,1999
246,Blue Valentine,2010
247,The Visit,2015
248,The Gift,2015
249,Pirate Radio,2009
250,Boat Trip,2003
251,Bobby Jones: Stroke of Genius,2004
252,Body of Lies,2008
253,Bolt,2008
254,Skyfall,2012
255,Spectre,2015
256,The Bone Collector,1999
257,Takers,2010
258,Boogeyman,2005
259,The Book of Eli,2010
260,The Book of Life,2014
261,The Boondock Saints II: All Saints Day,2009
262,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
263,Bucky Larson: Born to Be a Star,2011
264,The Bounty Hunter,2010
265,The Bourne Legacy,2012
266,The Bourne Identity,2002
267,The Bourne Supremacy,2004
268,The Bourne Ultimatum,2007
269,Bowfinger,1999
270,Bowling for Columbine,2002
271,The Box,2009
272,The Boy,2016
273,Boyhood,2014
274,The Boy Next Door,2015
275,Boys Don't Cry,1999
276,Braveheart,1995
277,Breakin' All the Rules,2004
278,The Twilight Saga: Breaking Dawn Part 1,2011
279,The Twilight Saga: Breaking Dawn Part 2,2012
280,The Break-Up,2006
281,Brick Mansions,2014
282,Bride and Prejudice,2005
283,Bride Wars,2009
284,Bridget Jones: The Edge of Reason,2004
285,Bridget Jones's Diary,2001
286,Bringing Down the House,2003
287,Bringing Out the Dead,1999
288,Bring It On,2000
289,Brokeback Mountain,2005
290,Broken City,2013
291,Brooklyn's Finest,2010
292,Brotherhood of the Wolf,2002
293,The Brothers,2001
294,Brothers,2009
295,The Brothers Grimm,2005
296,The Brothers Solomon,2007
297,Brown Sugar,2002
298,Bruce Almighty,2003
299,The Bucket List,2007
300,A Bug's Life,1998
301,Bulletproof Monk,2003
302,The Heat,2013
303,Burlesque,2010
304,Burn After Reading,2008
305,The Incredible Burt Wonderstone,2013
306,Lee Daniels' The Butler,2013
307,The Butterfly Effect,2004
308,By the Sea,2015
309,The Cable Guy,1996
310,Cadillac Records,2008
311,Calendar Girls,2003
312,The Call,2013
313,Capote,2005
314,Captain America: The First Avenger,2011
315,Captain Corelli's Mandolin,2001
316,Captain Phillips,2013
317,Carrie,2013
318,Cars,2006
319,Cars 2,2011
320,Case 39,2010
321,Cast Away,2000
322,Catch and Release,2007
323,The Hunger Games: Catching Fire,2013
324,Catch Me If You Can,2002
325,Catch That Kid,2004
326,The Cat in the Hat,2003
327,Cats & Dogs,2001
328,Cats & Dogs: The Revenge of Kitty Galore,2010
329,Catwoman,2004
330,Cellular,2004
331,Central Intelligence,2016
332,Changeling,2008
333,The Change-Up,2011
334,Changing Lanes,2002
335,Chappie,2015
336,Charlie Bartlett,2008
337,Charlie and the Chocolate Factory,2005
338,Charlie's Angels,2000
339,Charlie's Angels: Full Throttle,2003
340,Charlie St. Cloud,2010
341,Charlie Wilson's War,2007
342,Charlotte's Web,2006
343,Chasing Liberty,2004
344,Cheaper by the Dozen,2003
345,Cheri,2009
346,Chicago,2002
347,Chicken Little,2005
348,Children of Men,2006
349,Chill Factor,1999
350,Chocolat,2000
351,Christmas at Maxwell's,2006
352,A Christmas Carol,2009
353,Christmas with the Kranks,2004
354,Chronicle,2012
355,The Chronicles of Riddick,2004
356,I Now Pronounce You Chuck and Larry,2007
357,Cinderella,2015
358,Cinderella Man,2005
359,A Cinderella Story,2004
360,Circumstance,2011
361,Cirque du Freak: The Vampire's Assistant,2009
362,City by the Sea,2002
363,City Island,2010
364,City of Ember,2008
365,Clash of the Titans,2010
366,Wrath of the Titans,2012
367,Code Name: The Cleaner,2007
368,Clerks II,2006
369,Cliffhanger,1993
370,Clockstoppers,2002
371,Closer,2004
372,The Walk,2015
373,Cloudy with a Chance of Meatballs 2,2013
374,Cloudy with a Chance of Meatballs,2009
375,Cloverfield,2008
376,Coach Carter,2005
377,Killing Them Softly,2012
378,Cold Mountain,2003
379,Bridge of Spies,2015
380,Collateral,2004
381,Collateral Damage,2002
