,keys,CPI,CPI_E,SP500,NASDAQ
757,2014-01-01,235.436,164.399,1831.6749875,4137.48999
758,2012-08-01,229.844,161.244,1413.066691,3056.63663767
759,2012-12-01,231.272,161.796,1421.52998867,2996.22330733
760,2013-01-01,231.641,161.916,1497.52998867,3144.58658867
761,2007-04-01,205.904,148.053,1446.50667333,2477.19002267
762,2011-03-01,223.046,156.833,1269.93664567,2632.180013
763,2015-04-01,236.197,168.73,2097.599935,4983.54003933
764,2015-11-01,238.302,169.546,2100.47998067,5139.11344367
765,2014-11-01,237.261,163.637,2069.2075195,4773.022461
766,2012-06-01,228.506,161.967,1341.016683,2886.62003567
767,2010-02-01,217.281,153.701,1074.036662,2169.60335267
768,2013-08-01,233.249,162.856,1696.8640136,3668.392041
769,2009-08-01,215.445,155.574,1003.426656,1988.82002767
770,2015-09-01,237.489,168.254,1951.79337567,4791.706543
771,2006-12-01,203.1,145.7,1421.69250475,2421.397522
772,2006-04-01,200.7,140.0,1305.36669933,2353.313314
773,2013-11-01,234.21,163.66,1793.993327,3960.693278
774,2008-08-01,218.69,151.822,1277.0939696,2356.7180664
775,2006-02-01,199.4,139.0,1265.47334767,2261.57666
776,2009-02-01,212.705,153.583,848.893310667,1551.0
777,2010-08-01,217.923,157.372,1080.49332667,2191.46997067
778,2012-04-01,229.286,157.378,1398.00996867,3049.81331367
779,2006-07-01,202.9,142.3,1270.15665667,2146.16341167
780,2007-05-01,206.755,147.807,1515.17333967,2557.38663733
781,2011-05-01,224.806,157.739,1339.18335,2813.876709
782,2012-09-01,230.987,160.907,1440.38000467,3115.51000967
783,2015-05-01,236.876,168.981,2114.10335267,5026.926595
784,2015-06-01,237.423,168.494,2110.55664033,5104.94335933
785,2015-07-01,237.734,168.777,2098.649902,5135.603353
786,2013-03-01,232.313,160.553,1566.0199585,3262.02002
787,2013-08-01,233.249,162.856,1693.27001933,3661.080078
788,2014-07-01,237.259,166.455,1972.63663733,4407.190104
789,2009-11-01,217.234,154.075,1098.69335933,2165.33333333
790,2013-09-01,233.642,162.042,1719.25667333,3782.583252
791,2015-12-01,238.041,171.884,2062.6400145,5047.210205
792,2015-05-01,236.876,168.981,2127.57674167,5083.96337867
793,2014-02-01,235.621,163.979,1834.92667633,4256.30338533
794,2006-05-01,201.3,140.7,1306.67000333,2279.07332333
795,2009-11-01,217.234,154.075,1060.810018,2091.093343
796,2010-07-01,217.605,157.111,1069.493327,2177.106608
797,2012-08-01,229.844,161.244,1408.89998367,3065.61995433
798,2007-03-01,205.288,147.279,1388.800008,2374.36661767
799,2006-10-01,201.9,143.8,1367.11999533,2340.129964
800,2008-10-01,216.995,152.046,893.886678,1590.56335433
801,2011-05-01,224.806,157.739,1342.83333333,2845.52335633
802,2010-05-01,217.29,155.024,1086.80668133,2243.53328467
803,2009-11-01,217.234,154.075,1103.50250225,2164.919983
804,2010-05-01,217.29,155.024,1154.930013,2388.74340833
805,2013-09-01,233.642,162.042,1719.25667333,3782.583252
806,2011-04-01,224.093,155.909,1359.91666633,2871.983317
807,2012-06-01,228.506,161.967,1318.593343,2844.719971
808,2008-04-01,213.942,149.302,1349.28999833,2321.35335267
809,2009-06-01,214.79,153.013,916.769999,1814.416667
810,2007-12-01,211.445,148.62,1465.85998533,2644.62003567
811,2009-07-01,214.726,153.606,916.57499675,1830.33502225
812,2008-12-01,211.398,152.546,864.009989333,1482.41670767
813,2013-06-01,232.357,161.467,1624.946696,3431.58333333
814,2014-07-01,237.259,166.455,1972.63663733,4407.190104
815,2006-12-01,203.1,145.7,1421.92997233,2447.819987
