id,md5sum_movie,movie_revs_id
2613345,e08bdbb93c9d83eda6ec2814555660c5,30
2640997,92da8ff872017fc8ec7ca060752a4983,40
2641461,aa99fba890f3bfdd573f9f21b95f6f5a,41
2641459,05f078d9ee6f44408a2fee06ef8e074c,41
2765698,5e9ed7c82fddf65e4770201689358399,48
2646679,7493ae3d64faa915e50b1697ed107381,50
2646677,72becb693770b54c2073a032e47b4a70,50
3834966,8a5e9f5614b06df4b703860de1f87aa7,67
2679427,650202718f76656836d06238bb7a0b06,110
2679426,0d256f1c120255fb9250c80fb0661852,110
2679873,1c479d1546fddbc424f1d1ddd6dd098c,112
2679872,3bad7647d2e0be579cbe70d77953fe96,112
3576155,2899b2a8a974f42c8243882345c40043,127
3835090,cdcd959aee9adae6c616f63238f236a0,129
2688681,08d77132afc0804f935c3f580eae326d,132
3583046,60ded22be41bbe27e94647eff0b4d281,134
3583047,a9ef216786196e3c78f14c98965e7f70,134
3583042,8202646c0a5377945fa2dc5558da1680,134
3583045,7fd6e9012af6f19935a24d5490259e5a,134
3583044,a8627740c504330c58ce06d3f8fa8101,134
3583038,17bfac5f059038609e3d118ada18ec89,134
2636352,1743575aa4d0426ec3a926a7929cd11a,141
3684453,0066a69c6dcbda4c29a722aebb671ad0,175
3684451,9fbd70cf57da8e37e695d551f2b53af7,175
2754899,5e926b4884ccc95314f0fc06a26adead,183
2722104,e5eff0f978af21c3040758b3b97af14a,194
2722095,4409f8b9fd6fd254f5b4be92545dd281,194
3838096,0472d0f5bafb2420d051fcbcef85a510,199
3835172,ccb9eda62b7ccf140318f6f5c76caf8f,206
3141119,725cdf871e55435f5cd100d6aeed7b2c,206
2735221,8cc6f23598d6880a9296ac67d17fc16b,222
2735220,d0d49befbe80e754a46b10ca88f71c35,222
3693325,03834a12476dfa9516ec8f3c331dcfb5,247
3693327,1bcdde908e4af7fb24ac72250b8d9a48,247
3693331,c72d2e48359a1093d6ebe47a50facff8,247
3693328,be9fe23c5e576d2c4fff746c433dd405,247
3693330,61f64dd0c103030f64c3a0a666668292,247
2621996,1f0dab364f86c3f9ccc6bd9e391b18a4,247
2701696,1f0dab364f86c3f9ccc6bd9e391b18a4,247
2637944,1920be051b55e358bc55b829aca31e96,247
3620098,c29b587b8f52e755880b2ff233bf6734,248
3620097,b385c10ee7ccc4462706e30c21add539,248
3620083,f38f11010ca83db18e1827364c4e2d36,248
3620076,6e7b8425fae1eb3d7dc2d8fc739818e7,248
3620080,2a3fb6dcde3ead8dc06c89a2830e8869,248
3620078,b82ebd79d1db3b606e4ebae9b48a50a4,248
3620102,883d461021ef540be38de3ff9ed25832,248
3620096,0d0339ab0f1014a3180e982d26a5d613,248
2748266,9f222fd62e79cb9fe60514088a668a1f,253
3526835,94200ee01563cf942c572e03899f96a9,255
3591375,2e6f1cba4b54a860c6785625b007800d,271
3591391,e7e6f75542346e9621ac27ec3eafb722,271
3591383,ae577936d535147bafabdc88eb68b93f,271
3591379,3fa85ebb471aac6f6c17f51959d7c1d9,271
3591384,8edf8ca2d98360193e114be37fd979ae,271
3591385,7bc18b4c60f1490f192c26fb7fc45854,271
3591374,9cc450f2e5b59250964f2a5e3ed5446b,271
3591389,102e9de83470a5554e5966b439e8f7e6,271
3714499,cc7e42686f5d6452d694f28bd9d5a73f,271
3714500,7071e04054cbe864e9959443821a793e,271
2753590,bca92625af842ee11bc924fa4afd4eb4,273
3838111,ff77835dcadd196ed467f0e4f3573480,293
2760532,c0a3eba736e3c314eb237b129da9b5fd,294
2760528,bc5dfb55933b894597476bee38e9c38f,294
2760533,c70bee5b997aaf13bbc46d5170204fe9,294
3626672,ccbb042e8a0189dcee43fc5b303db690,302
3626671,9eb7e0af2fd12d15ca8ae1020c14cd42,302
3594433,5a29099c52e595414618945db843fef8,312
3594425,e689fed97de8d38c963f2e788b7d471f,312
3594426,cb764de96e2ab8f31c1de6c89b59efd3,312
3594429,b637f09b664855ba459ff6ef2085e331,312
2799290,832108c5394e5be03fc0e6e0af9153ef,357
2804192,0ed02de24825b6b2944be86fffca53c0,371
3694164,ba02fd73445b2c46467081e0fad2b0ca,372
3694171,57a10f72d1bfe80f8aef740d3b4fecaf,372
2662473,60bd408069defd7f2d66148ca9fb4165,423
2842609,6094f9fa471675734d2eebdeaed77344,445
2842614,04298d6ba14af1d34b7c9f6a12576e38,445
2849381,2a35916cb129d7891fd00e37554734d2,456
2849379,2a5912b8e60f15f37b91c85ef4df81ad,456
2849382,c38a8646ede519837893aff80e224121,456
3608708,8d7f624777a264b8c31df2f8a12cd267,512
2893001,252ee7ca84ce64da0438fdce3e4f902f,513
2894822,098267ed3c09732c1522a8f0fbc0f87a,515
2894816,bf390dd726f2e5816567e9431d5bdb6c,515
3835932,283ff7d6cfbf2907ed5518550d8cec57,515
2902476,fb292b6549be6ebf46b87c1dca14fbde,529
2920094,cd0132eff07d1294e78e260b212290c5,543
2925401,3c54d6c1be9669440d389bf1a8c3ddc2,553
2934237,d63edee1f721398896fb34f479ef8ee6,563
2941538,24925eb1c59d4fbb985a11eae9fcd179,585
3836064,98dbfd49ac7c0b13d36a055c2025db91,589
2946615,90ad1d2e0acfa01a70b24ed2785109a0,599
3614663,cfc9c3fa65d748ba521ba3444add9791,609
2960348,50059765aba8b9ad199aa0c58f701d2b,623
2960349,721632932f78009bdb8ccb8e06ddb029,623
2960357,6ddc4f8f277575fc1787fd0ebf93da99,623
2960355,04877d40053c3cea36e8c94ed454fb33,623
2960354,e6da45d1ffeef523dc499d38ad04fc46,623
3617091,8030c4ba51ee72ff4997a885fa8b4380,636
3193909,39e11777dd2e69f44dd52a0bde63d514,636
2973207,718e03c4727391d24c6fce6ff3caf566,652
3320956,18836e07c29264702fe153934528e641,655
3320957,f40a264d3e73d88889e1a02a8d3b6009,655
3320953,9ea82b5644da8558c8c4ced62222c532,655
