total_lifetime_earnings,year,gender,total_box_office_revenues,name_id
92512725.0,2010.25,1.0,16595961600.0,2235605
5485400.0,2007.0,1.0,1427327200.0,2243497
117082000.0,2001.75,1.0,1757245400.0,2274879
164860225.0,2003.0,1.0,2921983600.0,2278543
17147700.0,2006.0,1.0,34295400.0,2285912
77452100.0,2001.0,1.0,53731837900.0,2341147
45771300.0,1999.0,1.0,366170400.0,2407508
3157000.0,2003.0,0.0,2308566700.0,2585833
108148300.0,2009.0,0.0,324444900.0,2620489
118901500.0,2004.0,0.0,3498460400.0,2779907
531000.0,2015.0,0.0,42623631400.0,2982457
32147600.0,2008.0,0.0,225033200.0,3115136
76414350.0,2015.0,0.0,6418545200.0,3180887
36502900.0,2002.0,0.0,212491600.0,3349652
44800300.0,2002.0,0.0,134400900.0,3404135
114589000.0,2015.0,0.0,1076602800.0,3477296
33969066.6667,2007.0,0.0,5399712300.0,3594514
95597950.0,2003.5,0.0,24227439600.0,3597259
135009700.0,2005.66666667,0.0,4106149000.0,3637107
210267800.0,2005.0,0.0,15197544800.0,3659441
210267800.0,2005.0,0.0,15197544800.0,3659442
