,MPAA,distributor,dt_obj,genre,production_budget,runtime,title1,title2,total_revenues,day,month,season,sleeper,year
413,R,Overture Films,2010-02-26,Horror,20000000,101,The Crazies (2010),The Crazies,42223900,26,2,1,0,2010
414,PG-13,Buena Vista,2001-06-29,Romance,13000000,95,crazy/beautiful (2001),crazy/beautiful,25676300,29,6,2,0,2001
415,R,Fox Searchlight,2009-12-16,Drama,7000000,111,Crazy Heart (2009),Crazy Heart,42614900,16,12,4,1,2009
416,PG-13,Warner Bros.,2011-07-29,Comedy,50000000,107,"Crazy, Stupid, Love. (2011)","Crazy, Stupid, Love.",91180400,29,7,3,0,2011
417,PG-13,Warner Bros.,2015-11-25,Drama,35000000,133,Creed (2015),Creed,108396700,25,11,4,0,2015
418,R,Universal,2015-10-16,Horror,55000000,119,Crimson Peak (2015),Crimson Peak,30661500,16,10,4,0,2015
419,PG,MGM,2002-07-12,Family Adventure,12000000,90,The Crocodile Hunter: Collision Course (2002),The Crocodile Hunter:Collision Course,42003000,12,7,3,0,2002
420,PG,Fox,2013-03-22,Animation,135000000,98,The Croods (2013),The Croods,195163600,22,3,1,0,2013
421,PG-13,Paramount,2002-02-15,Drama,12000000,93,Crossroads (2002),Crossroads,54922800,15,2,1,0,2002
422,PG-13,Sony Classics,2000-12-08,Foreign / Action,17000000,120,"Crouching Tiger, Hidden Dragon (2000)","Crouching Tiger, Hidden Dragon",194832600,8,12,4,1,2000
423,PG-13,Sony / Columbia,2015-05-29,Comedy / Drama,37000000,105,Aloha (2015),Aloha,21909800,29,5,2,0,2015
424,PG,CBS Films,2010-01-22,Drama,31000000,106,Extraordinary Measures (2010),Extraordinary Measures,13606600,22,1,1,0,2010
425,PG-13,Fox,2010-06-23,Comedy,117000000,130,Knight & Day (2010),Knight & Day,82479200,23,6,2,0,2010
426,PG-13,Rogue Pictures,2005-09-16,Horror,1000000,90,Cry Wolf (2005),Cry Wolf,13449200,16,9,3,0,2005
427,PG-13,Paramount,2008-12-25,Fantasy Drama,150000000,168,The Curious Case of Benjamin Button (2008),The Curious Case of Benjamin Button,152371900,25,12,4,0,2008
428,G,Universal,2006-02-10,Animation,50000000,86,Curious George (2006),Curious George,76448100,10,2,1,0,2006
429,PG-13,Dimension Films,2005-02-25,Horror,38000000,96,Cursed (2005),Cursed,25830400,25,2,1,0,2005
430,PG-13,DreamWorks,2001-08-24,Comedy Thriller,33000000,102,The Curse of the Jade Scorpion (2001),The Curse of the Jade Scorpion,11395300,24,8,3,0,2001
431,R,Universal,2015-04-17,Horror,1000000,83,Unfriended (2015),Unfriended,32368900,17,4,2,0,2015
432,R,Fox Searchlight,2010-06-18,Comedy,7000000,92,Cyrus (2010),Cyrus,8060800,18,6,2,1,2010
433,PG,Sony (Revolution),2003-05-09,Comedy,60000000,92,Daddy Day Care (2003),Daddy Day Care,148402800,9,5,2,0,2003
434,R,Focus Features,2013-11-01,Drama,5000000,117,Dallas Buyers Club (2013),Dallas Buyers Club,28638800,1,11,4,1,2013
435,PG-13,Paramount,2009-05-22,Comedy,25000000,83,Dance Flick (2009),Dance Flick,30665900,22,5,2,0,2009
436,R,Bleecker Street,2015-03-20,Comedy / Drama,10000000,106,Danny Collins (2015),Danny Collins,5624800,20,3,1,1,2015
437,PG-13,Fox,2003-02-14,Action / Adventure,78000000,97,Daredevil (2003),Daredevil,145907700,14,2,1,0,2003
438,R,Fox Searchlight,2007-09-29,Comedy,16000000,91,The Darjeeling Limited (2007),The Darjeeling Limited,14830500,29,9,3,1,2007
439,R,United Artists,2003-02-21,Action / Crime,15000000,113,Dark Blue (2003),Dark Blue,13162100,21,2,1,0,2003
440,PG-13,Summit Entertainment,2011-12-25,Sci-Fi Thriller,30000000,89,The Darkest Hour (2011),The Darkest Hour,23342200,25,12,4,0,2011
441,PG-13,Relativity,2011-03-18,Action Thriller,27000000,105,Limitless (2011),Limitless,85614500,18,3,1,0,2011
442,PG-13,Sony (Revolution),2003-01-24,Horror,11000000,85,Darkness Falls (2003),Darkness Falls,46316900,24,1,1,0,2003
443,PG-13,Warner Bros.,2012-05-11,Horror Comedy,150000000,113,Dark Shadows (2012),Dark Shadows,84421000,11,5,2,0,2012
444,PG-13,Fox,2006-02-17,Romantic Comedy,20000000,80,Date Movie (2006),Date Movie,63594700,17,2,1,0,2006
445,PG-13,Fox,2010-04-09,Comedy,55000000,88,Date Night (2010),Date Night,106533800,9,4,2,0,2010
446,R,Paramount Vantage,2012-12-21,Drama,20000000,112,Not Fade Away (2012),Not Fade Away,659400,21,12,4,1,2012
447,R,Sony / Columbia,2013-12-13,Drama,40000000,138,American Hustle (2013),American Hustle,159764000,13,12,4,1,2013
448,PG-13,Sony / Columbia,2006-05-19,Thriller,125000000,149,The Da Vinci Code (2006),The Da Vinci Code,284955800,19,5,2,0,2006
449,PG-13,Fox,2014-07-11,Sci-Fi Action,170000000,130,Dawn of the Planet of the Apes (2014),Dawn of the Planet of the Apes,221417500,11,7,3,0,2014
450,R,Universal,2004-03-19,Horror,26000000,98,Dawn of the Dead (2004),Dawn of the Dead,81545800,19,3,1,0,2004
451,PG-13,Fox,2004-05-28,Action Drama,125000000,124,The Day After Tomorrow (2004),The Day After Tomorrow,258009000,28,5,2,0,2004
452,R,Lionsgate,2010-01-08,Horror,20000000,98,Daybreakers (2010),Daybreakers,33938400,8,1,1,0,2010
453,PG-13,Fox,2008-12-12,Sci-Fi,80000000,110,The Day the Earth Stood Still (2008) (2008),The Day the Earth Stood Still (2008),94842400,12,12,4,0,2008
454,R,Fox,2016-02-12,Action,58000000,106,Deadpool (2016),Deadpool,363070700,12,2,1,0,2016
455,R,Universal,2007-03-16,Horror,20000000,90,Dead Silence (2007),Dead Silence,20962500,16,3,1,0,2007
456,PG-13,Sony / Screen Gems,2010-02-05,Romance,25000000,108,Dear John (2010),Dear John,86355600,5,2,1,0,2010
457,R,MGM,2007-08-17,Comedy / Drama,9000000,90,Death at a Funeral (2007) (2007),Death at a Funeral (2007),10700500,17,8,3,0,2007
458,R,Sony / Screen Gems,2010-04-16,Comedy,21000000,90,Death at a Funeral (2010) (2010),Death at a Funeral (2010),46126200,16,4,2,0,2010
459,R,Universal,2008-08-22,Action Thriller,45000000,89,Death Race (2008),Death Race,43397200,22,8,3,0,2008
460,R,Warner Bros.,2002-03-29,Comedy Thriller,50000000,109,Death to Smoochy (2002),Death to Smoochy,12352700,29,3,1,0,2002
461,R,Focus Features,2011-08-31,Drama / Thriller,20000000,113,The Debt (2011),The Debt,33690600,31,8,3,0,2011
462,R,Paramount Vantage,2008-12-31,War,32000000,137,Defiance (2008),Defiance,34230200,31,12,4,0,2008
463,PG-13,Buena Vista,2006-11-22,Romantic Thriller,75000000,128,Deja Vu (2006),Deja Vu,83682000,22,11,4,0,2006
464,PG,Freestyle Releasing,2008-12-12,Animation,40000000,90,Delgo (2008),Delgo,830300,12,12,4,0,2008
465,PG-13,Buena Vista,2013-11-22,Comedy,26000000,105,Delivery Man (2013),Delivery Man,31566000,22,11,4,0,2013
466,PG-13,United Artists,2004-07-02,Music Drama,15000000,125,De-Lovely (2004),De-Lovely,18592300,2,7,3,1,2004
467,R,Warner Bros.,2006-10-06,Crime Drama,90000000,150,The Departed (2006),The Departed,172636300,6,10,4,0,2006
468,R,Weinstein Company,2005-11-11,Thriller,22000000,106,Derailed (2005),Derailed,48208600,11,11,4,0,2005
469,PG,Universal,2010-07-09,Animation,69000000,95,Despicable Me (2010),Despicable Me,279660500,9,7,3,0,2010
470,PG,Universal,2013-07-03,Animation,76000000,98,Despicable Me 2 (2013),Despicable Me 2,402351400,3,7,3,0,2013
471,R,Sony / Columbia,2005-08-12,Comedy,22000000,83,Deuce Bigalow: European Gigolo (2005),Deuce Bigalow:European Gigolo,29983400,12,8,3,0,2005
472,R,Paramount,2012-01-06,Horror,1000000,87,The Devil Inside (2012),The Devil Inside,57700400,6,1,1,0,2012
473,R,Fox,2014-01-17,Horror,7000000,89,Devil's Due (2014),Devil's Due,17053800,17,1,1,0,2014
474,R,Lions Gate,2005-07-22,Horror,7000000,101,The Devil's Rejects (2005),The Devil's Rejects,22815300,22,7,3,0,2005
475,PG-13,Fox,2006-06-30,Comedy,35000000,106,The Devil Wears Prada (2006),The Devil Wears Prada,163400500,30,6,2,0,2006
476,PG,Fox,2010-03-19,Comedy,15000000,120,Diary of a Wimpy Kid (2010),Diary of a Wimpy Kid,69075600,19,3,1,0,2010
477,PG,Fox,2011-03-25,Comedy,21000000,96,Diary of a Wimpy Kid: Rodrick Rules (2011),Diary of a Wimpy Kid:Rodrick Rules,56861700,25,3,1,0,2011
478,PG,Fox,2012-08-03,Comedy,22000000,94,Diary of a Wimpy Kid: Dog Days (2012),Diary of a Wimpy Kid:Dog Days,54005000,3,8,3,0,2012
479,PG-13,Lionsgate,2012-08-31,Horror,14000000,91,The Possession (2012),The Possession,54068100,31,8,3,0,2012
480,PG-13,Paramount,2003-09-05,Comedy,17000000,92,Dickie Roberts: Former Child Star (2003),Dickie Roberts:Former Child Star,32354500,5,9,3,0,2003
481,R,Paramount,2012-05-16,Comedy,65000000,83,The Dictator (2012),The Dictator,63062100,16,5,2,0,2012
482,PG-13,MGM,2002-11-22,Action,142000000,123,Die Another Day (2002),Die Another Day,236671000,22,11,4,0,2002
483,PG-13,Fox,2007-06-27,Action,110000000,130,Live Free or Die Hard (2007),Live Free or Die Hard,167770700,27,6,2,0,2007
484,R,Fox,2013-02-14,Action,92000000,97,A Good Day to Die Hard (2013),A Good Day to Die Hard,72777900,14,2,1,0,2013
485,PG-13,Paramount (DreamWorks),2010-07-30,Comedy,69000000,110,Dinner for Schmucks (2010),Dinner for Schmucks,78813300,30,7,3,0,2010
486,R,Silver Nitrate,2006-01-20,Crime Thriller,3000000,97,Dirty (2006),Dirty,359200,20,1,1,0,2006
487,PG-13,Lions Gate,2004-02-27,Romance,25000000,86,Dirty Dancing: Havana Nights (2004),Dirty Dancing:Havana Nights,19566300,27,2,1,0,2004
488,PG-13,Lionsgate,2008-08-29,Comedy,20000000,90,Disaster Movie (2008),Disaster Movie,16957900,29,8,3,0,2008
489,PG,Buena Vista,2014-11-07,Animation,165000000,108,Big Hero 6 (2014),Big Hero 6,230634200,7,11,4,0,2014
490,R,TriStar,2009-08-14,Sci-Fi,30000000,113,District 9 (2009),District 9,132936000,14,8,3,0,2009
491,PG-13,Paramount (DreamWorks),2007-04-13,Drama / Thriller,20000000,104,Disturbia (2007),Disturbia,100029000,13,4,2,0,2007
492,PG-13,Lionsgate/Summit,2014-03-21,Action / Adventure,85000000,143,Divergent (2014),Divergent,158789300,21,3,1,0,2014
493,R,Weinstein Company,2012-12-25,Western,100000000,165,Django Unchained (2012),Django Unchained,175398700,25,12,4,0,2012
494,PG-13,Fox,2004-06-18,Sports Comedy,20000000,97,DodgeBall: A True Underdog Story (2004),DodgeBall:A True Underdog Story,157958700,18,6,2,0,2004
495,R,Lions Gate,1999-11-12,Fantasy Comedy,10000000,130,Dogma (1999),Dogma,51585300,12,11,4,0,1999
496,R,Lions Gate,2004-03-26,Period Drama,10000000,177,Dogville (2004),Dogville,2121200,26,3,1,0,2004
497,PG,Warner Bros.,2011-09-23,Family,37000000,112,Dolphin Tale (2011),Dolphin Tale,78851600,23,9,3,0,2011
498,PG,Warner Bros.,2014-09-12,Family,36000000,107,Dolphin Tale 2 (2014),Dolphin Tale 2,44253700,12,9,3,0,2014
499,R,Relativity,2013-09-27,Comedy,3000000,90,Don Jon (2013),Don Jon,25152600,27,9,3,0,2013
500,R,FilmDistrict,2011-08-26,Horror,25000000,100,Don't Be Afraid of the Dark (2011),Don't Be Afraid of the Dark,25985000,26,8,3,0,2011
501,R,Universal,2005-10-21,Sci-Fi Horror,60000000,100,Doom (2005),Doom,37763200,21,10,4,0,2005
502,R,Open Road Films,2015-06-19,Comedy / Drama,7000000,115,Dope (2015),Dope,18206700,19,6,2,0,2015
503,R,Paramount,1999-09-24,Thriller,70000000,105,Double Jeopardy (1999),Double Jeopardy,196904900,24,9,3,0,1999
504,PG-13,Miramax,2008-12-12,Drama,20000000,104,Doubt (2008),Doubt,39968100,12,12,4,1,2008
505,PG-13,Universal,2014-10-10,Action Horror,70000000,92,Dracula Untold (2014),Dracula Untold,58179000,10,10,4,0,2014
506,PG-13,Universal,2009-05-29,Horror,30000000,99,Drag Me to Hell (2009),Drag Me to Hell,50309600,29,5,2,0,2009
507,PG-13,Universal,2002-02-22,Romantic Thriller,60000000,105,Dragonfly (2002),Dragonfly,44780500,22,2,1,0,2002
508,PG-13,Freestyle Releasing,2007-09-14,Action Fantasy,32000000,90,Dragon Wars (2007),Dragon Wars,13690200,14,9,3,0,2007
509,PG,Fox,2001-06-22,Family Comedy,70000000,87,Dr. Dolittle 2 (2001),Dr. Dolittle 2,171225400,22,6,2,0,2001
510,R,Warner Bros.,2003-03-21,Sci-Fi Horror,68000000,134,Dreamcatcher (2003),Dreamcatcher,47973200,21,3,1,0,2003
511,PG,DreamWorks,2005-10-21,Family,32000000,102,Dreamer: Inspired by a True Story (2005),Dreamer:Inspired by a True Story,43831000,21,10,4,0,2005
512,NC-17,Fox Searchlight,2004-02-06,Drama,15000000,116,The Dreamers (2004),The Dreamers,3498600,6,2,1,1,2004
513,PG-13,Universal,2011-09-30,Thriller,50000000,92,Dream House (2011),Dream House,23019400,30,9,3,0,2011
514,R,Lionsgate,2012-09-21,Action / Adventure,50000000,95,Dredd (2012),Dredd,14794100,21,9,3,0,2012
515,R,FilmDistrict,2011-09-16,Action Drama,15000000,103,Drive (2011) (2011),Drive (2011),38055900,16,9,3,0,2011
516,PG-13,Warner Bros.,2001-04-27,Sports Drama,94000000,117,Driven (2001),Driven,49600400,27,4,2,0,2001
517,PG-13,Fox,2002-12-13,Music Drama,20000000,118,Drumline (2002),Drumline,81785700,13,12,4,0,2002
518,R,Warner Bros.,2010-11-05,Comedy,65000000,95,Due Date (2010),Due Date,107693500,5,11,4,0,2010
519,PG-13,Warner Bros.,2005-08-05,Action Comedy,50000000,106,The Dukes of Hazzard (2005),The Dukes of Hazzard,107444400,5,8,3,0,2005
520,PG,Warner Bros.,2005-04-22,Family Adventure,12000000,101,Duma (2005),Duma,1164600,22,4,2,0,2005
521,PG-13,New Line,2003-06-13,Comedy,19000000,96,Dumb and Dumberer: When Harry Met Lloyd (2003),Dumb and Dumberer:When Harry Met Lloyd,37388400,13,6,2,0,2003
522,PG-13,Universal,2014-11-14,Comedy,40000000,110,Dumb and Dumber To (2014),Dumb and Dumber To,89161600,14,11,4,0,2014
523,PG-13,Miramax,2003-09-26,Comedy,40000000,97,Duplex (2003),Duplex,13790800,26,9,3,0,2003
524,PG-13,Universal,2009-03-20,Thriller,60000000,125,Duplicity (2009),Duplicity,48484000,20,3,1,0,2009
525,Unrated,Datari Turner Productions,2012-02-03,Comedy,5000000,111,Dysfunctional Friends (2012),Dysfunctional Friends,14700,3,2,1,0,2012
526,PG-13,Paramount (DreamWorks),2008-09-26,Thriller,80000000,118,Eagle Eye (2008),Eagle Eye,121220300,26,9,3,0,2008
527,PG-13,Focus Features,2011-02-11,Period Action,25000000,114,The Eagle (2011),The Eagle,21275400,11,2,1,0,2011
528,PG-13,Warner Bros.,2009-12-11,Drama,60000000,132,Invictus (2009),Invictus,41748700,11,12,4,0,2009
529,PG-13,Sony / Screen Gems,2010-09-17,Romantic Comedy,8000000,92,Easy A (2010),Easy A,63029500,17,9,3,0,2010
530,PG-13,Sony / Columbia,2010-08-13,Drama,60000000,133,Eat Pray Love (2010),Eat Pray Love,86959100,13,8,3,0,2010
531,PG,Relativity,2014-07-02,Adventure,13000000,91,Earth to Echo (2014),Earth to Echo,41336400,2,7,3,0,2014
532,R,Warner Bros.,2002-09-20,Action,70000000,91,Ballistic: Ecks vs. Sever (2002),Ballistic:Ecks vs. Sever,21129500,20,9,3,0,2002
533,PG-13,Summit Entertainment,2010-06-30,Romance,68000000,124,The Twilight Saga: Eclipse (2010),The Twilight Saga:Eclipse,324347500,30,6,2,0,2010
534,PG-13,Fox,2016-02-26,Drama,23000000,105,Eddie the Eagle (2016),Eddie the Eagle,15789400,26,2,1,0,2016
535,R,Warner Bros.,2010-01-29,Drama / Thriller,80000000,108,Edge of Darkness (2010),Edge of Darkness,46746300,29,1,1,0,2010
536,PG-13,Warner Bros.,2002-07-17,Horror Comedy,30000000,99,Eight Legged Freaks (2002),Eight Legged Freaks,25581400,17,7,3,0,2002
537,PG-13,Fox,2005-01-14,Action / Adventure,43000000,97,Elektra (2005),Elektra,32673200,14,1,1,0,2005
538,PG,New Line,2003-11-07,Comedy,33000000,95,Elf (2003),Elf,246204300,7,11,4,0,2003
539,PG,Paramount,2005-10-14,Comedy / Drama,45000000,123,Elizabethtown (2005),Elizabethtown,35940200,14,10,4,0,2005
540,PG,Miramax,2004-04-09,Family Adventure,31000000,95,Ella Enchanted (2004),Ella Enchanted,31665000,9,4,2,0,2004
541,Unrated,Gigapix Releasing,2012-10-26,Foreign,3000000,100,El Milagro De Marcelino Pan (2012),El Milagro De Marcelino Pan,19400,26,10,4,0,2012
542,G,Sony / Columbia,1999-10-01,Family,26000000,77,The Adventures of Elmo in Grouchland (1999),The Adventures of Elmo in Grouchland,19732400,1,10,4,0,1999
543,R,TriStar,2013-08-09,Sci-Fi,115000000,109,Elysium (2013),Elysium,101719200,9,8,3,0,2013
544,G,Buena Vista,2000-12-15,Animation,100000000,78,The Emperor's New Groove (2000),The Emperor's New Groove,138118800,15,12,4,0,2000
545,R,Universal,2002-12-06,Crime Drama,4000000,90,Empire (2002),Empire,25803300,6,12,4,0,2002
546,PG-13,Lionsgate,2006-10-06,Comedy,12000000,103,Employee of the Month (2006),Employee of the Month,37260600,6,10,4,0,2006
547,PG,Buena Vista,2007-11-21,Family Adventure,85000000,107,Enchanted (2007),Enchanted,158154800,21,11,4,0,2007
548,PG-13,Lionsgate/Summit,2013-11-01,Sci-Fi,110000000,114,Ender's Game (2013),Ender's Game,63479900,1,11,4,0,2013
549,PG-13,Universal,2014-02-14,Romance,20000000,103,Endless Love (2014) (2014),Endless Love (2014),25263800,14,2,1,0,2014
550,PG-13,Rocky Mountain Pictures,2006-01-20,Period Adventure,10000000,111,End of the Spear (2006),End of the Spear,15675800,20,1,1,0,2006
551,R,Open Road Films,2012-09-21,Crime Drama,7000000,109,End of Watch (2012),End of Watch,44380000,21,9,3,0,2012
552,R,Paramount,2001-03-16,War,68000000,131,Enemy at the Gates (2001),Enemy at the Gates,77920000,16,3,1,0,2001
553,PG-13,Sony / Columbia,2002-05-24,Thriller,38000000,111,Enough (2002),Enough,59082000,24,5,2,0,2002
554,R,Warner Bros.,2015-06-03,Comedy,30000000,104,Entourage (2015),Entourage,33658000,3,6,2,0,2015
555,PG-13,DreamWorks,2004-04-30,Comedy,40000000,99,Envy (2004),Envy,18738300,30,4,2,0,2004
556,R,Sony / Columbia,2014-09-26,Thriller,55000000,128,The Equalizer (2014),The Equalizer,104971700,26,9,3,0,2014
557,PG,Fox,2006-12-15,Fantasy,100000000,99,Eragon (2006),Eragon,96598900,15,12,4,0,2006
558,R,Universal,2000-03-17,Drama,52000000,130,Erin Brockovich (2000),Erin Brockovich,199927100,17,3,1,0,2000
559,PG,Weinstein Company,2013-02-15,Animation,40000000,89,Escape From Planet Earth (2013),Escape From Planet Earth,61420000,15,2,1,0,2013
560,R,Focus Features,2004-03-19,Sci-Fi Comedy,20000000,108,Eternal Sunshine of the Spotless Mind (2004),Eternal Sunshine of the Spotless Mind,47528900,19,3,1,0,2004
561,R,DreamWorks,2004-02-20,Comedy,25000000,92,Eurotrip (2004),Eurotrip,24553700,20,2,1,0,2004
562,PG,Universal,2007-06-22,Fantasy Comedy,175000000,90,Evan Almighty (2007),Evan Almighty,125285800,22,6,2,0,2007
563,PG-13,Universal,2015-09-18,Thriller,55000000,121,Everest (2015) (2015),Everest (2015),43422600,18,9,3,1,2015
564,PG,Universal,2012-02-03,Drama,40000000,123,Big Miracle (2012),Big Miracle,21833400,3,2,1,0,2012
565,PG-13,Miramax,2009-12-04,Comedy,21000000,95,Everybody's Fine (2009),Everybody's Fine,10382700,4,12,4,0,2009
566,R,Roadside Attractions,2008-09-05,Romantic Comedy,3000000,103,Everybody Wants to Be Italian (2008),Everybody Wants to Be Italian,419900,5,9,3,0,2008
567,R,Image Entertainment,2011-01-14,Comedy / Drama,3000000,93,Every Day (2011),Every Day,50200,14,1,1,0,2011
568,R,Roadside Attractions,2011-05-13,Comedy / Drama,5000000,100,Everything Must Go (2011),Everything Must Go,2887700,13,5,2,0,2011
569,R,TriStar,2013-04-05,Horror,17000000,91,Evil Dead (2013) (2013),Evil Dead (2013),58611800,5,4,2,0,2013
570,PG,Buena Vista,1996-12-25,Musical,55000000,130,Evita (1996),Evita,93562200,25,12,4,1,1996
571,PG-13,DreamWorks,2001-06-08,Sci-Fi Comedy,80000000,102,Evolution (2001),Evolution,58128000,8,6,2,0,2001
572,R,Warner Bros.,2001-03-16,Action,50000000,101,Exit Wounds (2001),Exit Wounds,78460900,16,3,1,0,2001
573,R,A24,2015-04-10,Sci-Fi Thriller,15000000,110,Ex Machina (2015),Ex Machina,25468400,10,4,2,0,2015
574,PG-13,Fox,2014-12-12,Drama,140000000,150,Exodus: Gods and Kings (2014),Exodus:Gods and Kings,67648800,12,12,4,0,2014
575,PG-13,Sony / Screen Gems,2005-09-09,Horror,19000000,114,The Exorcism of Emily Rose (2005),The Exorcism of Emily Rose,100487000,9,9,3,0,2005
576,R,Warner Bros.,2004-08-20,Period Horror,80000000,114,Exorcist: The Beginning (2004),Exorcist:The Beginning,57783000,20,8,3,0,2004
577,R,Lionsgate,2010-08-13,Action,80000000,103,The Expendables (2010),The Expendables,111236200,13,8,3,0,2010
578,R,Lionsgate,2012-08-17,Action,100000000,102,The Expendables 2 (2012),The Expendables 2,93715000,17,8,3,0,2012
579,PG,Universal,2008-10-10,Sports Drama,40000000,129,The Express (2008),The Express,11703000,10,10,4,0,2008
580,R,Miramax,2009-09-04,Comedy,8000000,90,Extract (2009),Extract,12439600,4,9,3,0,2009
581,PG,IDP,2006-09-29,Sports Drama,100000,111,Facing the Giants (2006),Facing the Giants,13324500,29,9,3,0,2006
582,R,Miramax,1998-12-25,Horror,15000000,117,The Faculty (1998),The Faculty,70623100,25,12,4,0,1998
583,R,Lions Gate,2004-06-23,Documentary,6000000,116,Fahrenheit 9/11 (2004),Fahrenheit 9/11,164684600,23,6,2,0,2004
584,PG-13,Paramount,2006-03-10,Romantic Comedy,50000000,97,Failure to Launch (2006),Failure to Launch,116210100,10,3,1,0,2006
585,PG-13,Summit Entertainment,2010-11-05,Action Thriller,22000000,108,Fair Game (2010) (2010),Fair Game (2010),10219600,5,11,4,1,2010
586,PG,MGM,2009-09-25,Music Drama,18000000,107,Fame (2009) (2009),Fame (2009),25317800,25,9,3,0,2009
587,PG-13,Universal,2000-12-22,Fantasy Comedy,60000000,126,The Family Man (2000),The Family Man,116899700,22,12,4,0,2000
588,PG-13,Fox,2005-12-16,Romantic Comedy,18000000,102,The Family Stone (2005),The Family Stone,79708800,16,12,4,0,2005
589,PG-13,Fox,2005-07-08,Action / Adventure,100000000,123,Fantastic Four (2005) (2005),Fantastic Four (2005),207065900,8,7,3,0,2005
590,PG-13,Fox,2015-08-07,Action / Adventure,120000000,100,Fantastic Four (2015),Fantastic Four,58344000,7,8,3,0,2015
591,PG,Fox,2007-06-15,Action / Adventure,130000000,89,Fantastic Four: Rise of the Silver Surfer (2007),Fantastic Four:Rise of the Silver Surfer,164518700,15,6,2,0,2007
592,PG,Fox,2009-11-13,Animation,40000000,87,Fantastic Mr. Fox (2009),Fantastic Mr. Fox,23566300,13,11,4,1,2009
593,PG-13,Universal,1992-05-22,Period Drama,60000000,140,Far and Away (1992),Far and Away,121740600,22,5,2,0,1992
594,R,MGM,2005-01-28,Romantic Thriller,5000000,95,Fascination (2005),Fascination,22300,28,1,1,0,2005
595,PG-13,Universal,2013-05-24,Action,160000000,130,Fast & Furious 6 (2013),Fast & Furious 6,244376300,24,5,2,0,2013
596,PG-13,Universal,2015-04-03,Action,190000000,137,Furious 7 (2015),Furious 7,351984200,3,4,2,0,2015
597,PG-13,Universal,2001-06-22,Action,38000000,106,The Fast and the Furious (2001),The Fast and the Furious,219099100,22,6,2,0,2001
598,PG-13,Universal,2009-04-03,Action,85000000,99,Fast and Furious (2009),Fast and Furious,185299700,3,4,2,0,2009
599,R,CBS Films,2010-11-24,Action,24000000,98,Faster (2010),Faster,24893800,24,11,4,0,2010
600,PG-13,Universal,2011-04-29,Action,125000000,130,Fast Five (2011),Fast Five,223405600,29,4,2,0,2011
601,PG-13,Fox,2014-06-06,Drama,12000000,125,The Fault in our Stars (2014),The Fault in our Stars,129260500,6,6,2,0,2014
602,R,Warner Bros.,2002-08-30,Horror,40000000,98,fear dot com (2002),fear dot com,19579300,30,8,3,0,2002
603,PG-13,Sony / Columbia,2010-08-06,Action Comedy,100000000,107,The Other Guys (2010),The Other Guys,128667600,6,8,3,0,2010
604,PG-13,Fox,2005-04-08,Romantic Comedy,30000000,98,Fever Pitch (2005),Fever Pitch,56313500,8,4,2,0,2005
605,R,Columbia,1992-12-11,Drama / Thriller,40000000,138,A Few Good Men (1992),A Few Good Men,292607100,11,12,4,0,1992
606,R,Buena Vista,2013-10-18,Drama,28000000,124,The Fifth Estate (2013),The Fifth Estate,3562200,18,10,4,0,2013
607,R,Universal,2015-02-13,Romance,40000000,125,Fifty Shades of Grey (2015),Fifty Shades of Grey,175474900,13,2,1,0,2015
608,R,Fox,1999-10-15,Crime,63000000,139,Fight Club (1999),Fight Club,62472100,15,10,4,0,1999
609,R,Paramount,2010-12-10,Sports Drama,25000000,114,The Fighter (2010),The Fighter,100278900,10,12,4,1,2010
610,PG-13,Paramount,2003-09-19,Music Drama,30000000,123,The Fighting Temptations (2003),The Fighting Temptations,43043300,19,9,3,0,2003
611,R,Lionsgate,2013-04-19,Drama,2000000,101,Filly Brown (2013),Filly Brown,2918400,19,4,2,0,2013
612,R,New Line,2006-02-10,Horror,25000000,115,Final Destination 3 (2006),Final Destination 3,70864300,10,2,1,0,2006
613,R,Warner Bros. (New Line),2009-08-28,Horror,40000000,82,The Final Destination (2009),The Final Destination,76384600,28,8,3,0,2009
614,R,Warner Bros. (New Line),2011-08-12,Horror,40000000,95,Final Destination 5 (2011),Final Destination 5,46022600,12,8,3,0,2011
615,PG-13,Sony / Columbia,2001-07-11,Animation,137000000,108,Final Fantasy: The Spirits Within (2001),Final Fantasy:The Spirits Within,48708700,11,7,3,0,2001
616,PG,Miramax,2004-11-12,Period Drama,25000000,101,Finding Neverland (2004),Finding Neverland,70128300,12,11,4,1,2004
617,R,Yari Film Group,2006-03-17,Crime Drama,13000000,124,Find Me Guilty (2006),Find Me Guilty,1537400,17,3,1,0,2006
618,PG-13,Sony / Screen Gems,2009-02-20,Comedy,20000000,90,Fired Up (2009),Fired Up,20591200,20,2,1,0,2009
619,PG,Samuel Goldwyn,2008-09-26,Drama,500000,122,Fireproof (2008),Fireproof,39979800,26,9,3,0,2008
620,R,Universal,2012-04-27,Comedy,30000000,124,The Five-Year Engagement (2012),The Five-Year Engagement,30469100,27,4,2,0,2012
621,R,Paramount (DreamWorks),2006-10-20,War,90000000,132,Flags of Our Fathers (2006),Flags of Our Fathers,44016500,20,10,4,0,2006
622,PG,Fox,2006-10-20,Family,15000000,100,Flicka (2006),Flicka,27499200,20,10,4,0,2006
623,R,Paramount,2012-11-02,Drama,31000000,139,Flight (2012),Flight,99980700,2,11,4,0,2012
624,PG-13,Fox,2004-12-17,Adventure,45000000,120,Flight of the Phoenix (2004),Flight of the Phoenix,28710800,17,12,4,0,2004
