,MPAA,distributor,dt_obj,genre,production_budget,runtime,title1,title2,total_revenues,day,month,season,sleeper,year
35,R,Universal,2002-11-08,Music Drama,41000000,118,8 Mile (2002),8 Mile,172284700,8,11,4,0,2002
36,R,Sony / Columbia,1999-02-26,Thriller,40000000,124,8MM (1999),8MM,61923500,26,2,1,0,1999
37,PG-13,Focus Features,2009-09-09,Animation,30000000,79,9 (2009),9,36347000,9,9,3,0,2009
38,PG-13,Samuel Goldwyn,2015-09-11,Drama,5000000,121,90 Minutes in Heaven (2015),90 Minutes in Heaven,5001300,11,9,3,0,2015
39,R,Broad Green Pictures,2015-09-25,Thriller,8000000,112,99 Homes (2015),99 Homes,1392500,25,9,3,0,2015
40,PG-13,Paramount,2002-10-18,Thriller,25000000,99,Abandon (2002),Abandon,15842300,18,10,4,0,2002
41,PG-13,Lionsgate,2011-09-23,Action,35000000,106,Abduction (2011),Abduction,30351100,23,9,3,0,2011
42,PG-13,Summit Entertainment,2011-06-24,Drama,10000000,97,A Better Life (2011),A Better Life,1899700,24,6,2,1,2011
43,PG-13,Universal,2002-05-17,Comedy / Drama,30000000,100,About a Boy (2002),About a Boy,61116300,17,5,2,0,2002
44,R,New Line,2002-12-13,Comedy / Drama,30000000,124,About Schmidt (2002),About Schmidt,92603800,13,12,4,1,2002
45,R,Fox,2012-06-22,Horror Thriller,69000000,105,Abraham Lincoln: Vampire Hunter (2012),Abraham Lincoln:Vampire Hunter,40313500,22,6,2,0,2012
46,PG-13,Universal,2006-08-18,Comedy,23000000,90,Accepted (2006),Accepted,47581000,18,8,3,0,2006
47,R,Relativity,2012-02-24,Thriller,12000000,111,Act of Valor (2012),Act of Valor,75760000,24,2,1,0,2012
48,R,Weinstein Company,2015-10-30,Comedy,20000000,100,Burnt (2015),Burnt,13464400,30,10,4,0,2015
49,R,Sony / Columbia,2002-12-06,Comedy,19000000,114,Adaptation. (2002),Adaptation.,32176700,6,12,4,0,2002
50,PG-13,Focus Features,2013-03-22,Comedy / Drama,13000000,117,Admission (2013),Admission,19458800,22,3,1,0,2013
51,PG-13,Paramount,2005-12-02,Sci-Fi Action,62000000,95,Aeon Flux (2005),Aeon Flux,34600300,2,12,4,0,2005
52,PG-13,New Line,2004-11-12,Romantic Thriller,60000000,98,After the Sunset (2004),After the Sunset,39131600,12,11,4,0,2004
53,PG,MGM,2003-03-14,Family Adventure,28000000,110,Agent Cody Banks (2003),Agent Cody Banks,68210800,14,3,1,0,2003
54,PG,MGM,2004-03-12,Family Adventure,26000000,101,Agent Cody Banks 2: Destination London (2004),Agent Cody Banks 2:Destination London,32648400,12,3,1,0,2004
55,PG-13,Warner Bros.,2001-06-29,Sci-Fi,100000000,145,A.I. Artificial Intelligence (2001),A.I. Artificial Intelligence,119175100,29,6,2,0,2001
56,R,Sony / Columbia,1997-07-25,Action Thriller,85000000,124,Air Force One (1997),Air Force One,323231600,25,7,3,0,1997
57,PG,Lionsgate,2006-04-28,Drama,8000000,112,Akeelah and the Bee (2006),Akeelah and the Bee,24690000,28,4,2,0,2006
58,PG-13,Sony / Columbia,2001-05-11,Period Action,65000000,132,A Knight's Tale (2001),A Knight's Tale,85754100,11,5,2,0,2001
59,PG-13,Buena Vista,2004-04-09,War,107000000,137,The Alamo (2004) (2004),The Alamo (2004),30969500,9,4,2,0,2004
60,PG-13,Warner Bros.,2003-06-20,Romantic Comedy,30000000,100,Alex and Emma (2003),Alex and Emma,20231600,20,6,2,0,2003
61,R,Warner Bros.,2004-11-24,Historical Epic,155000000,176,Alexander (2004),Alexander,47371600,24,11,4,0,2004
62,PG,Buena Vista,2014-10-10,Family,28000000,81,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)","Alexander and the Terrible, Horrible, No Good, Very Bad Day",69256600,10,10,4,0,2014
63,PG-13,Lionsgate/Summit,2012-10-19,Crime Thriller,35000000,101,Alex Cross (2012),Alex Cross,27593800,19,10,4,0,2012
64,R,Paramount,2004-11-05,Comedy / Drama,60000000,102,Alfie (2004),Alfie,18512900,5,11,4,0,2004
65,R,Sony / Columbia,2001-12-25,Sports Drama,107000000,156,Ali (2001),Ali,86736000,25,12,4,0,2001
66,PG,Buena Vista,2016-05-27,Family Adventure,170000000,112,Alice Through the Looking Glass (2016),Alice Through the Looking Glass,76153900,27,5,2,0,2016
67,PG,Buena Vista,2010-03-05,Family Adventure,200000000,109,Alice in Wonderland (2010) (2010),Alice in Wonderland (2010),360674200,5,3,1,0,2010
68,R,Fox,1992-05-22,Sci-Fi Horror,50000000,114,Alien 3 (1992),Alien 3,114689900,22,5,2,0,1992
69,PG,Fox,2009-07-31,Family Adventure,45000000,86,Aliens in the Attic (2009),Aliens in the Attic,28967500,31,7,3,0,2009
70,R,New Line,2002-03-08,Action Comedy,15000000,95,All About the Benjamins (2002),All About the Benjamins,38272300,8,3,1,0,2002
71,PG-13,Sony / Columbia,2006-09-22,Drama,55000000,141,All the King's Men (2006),All the King's Men,9459600,22,9,3,0,2006
72,PG-13,Miramax,2000-12-25,Western,57000000,117,All the Pretty Horses (2000),All the Pretty Horses,23874800,25,12,4,0,2000
73,PG-13,Warner Bros.,2014-06-06,Sci-Fi Action,178000000,113,Edge of Tomorrow (2014),Edge of Tomorrow,103891200,6,6,2,0,2014
74,PG-13,Paramount,2015-01-30,Sci-Fi,12000000,106,Project Almanac (2015),Project Almanac,23614300,30,1,1,0,2015
75,R,Lions Gate,2005-01-28,Horror,20000000,96,Alone in the Dark (2005),Alone in the Dark,6931700,28,1,1,0,2005
76,PG-13,Seatzy/IMA,2013-09-27,Adventure,7000000,103,Alone Yet Not Alone (2013),Alone Yet Not Alone,914800,27,9,3,0,2013
77,R,Paramount,2001-04-06,Thriller,60000000,103,Along Came a Spider (2001),Along Came a Spider,112295200,6,4,2,0,2001
78,PG-13,Universal,2004-01-16,Romantic Comedy,42000000,90,Along Came Polly (2004),Along Came Polly,121718800,16,1,1,0,2004
79,PG,Moving Visions Entertainment,2014-05-16,Drama,500000,105,A Long Way Off (2014),A Long Way Off,31000,16,5,2,0,2014
80,G,Fox,2011-12-16,Family Comedy,75000000,87,Alvin and the Chipmunks: Chipwrecked (2011),Alvin and the Chipmunks:Chipwrecked,145128300,16,12,4,1,2011
81,PG,Fox,2007-12-14,Family Comedy,60000000,92,Alvin and the Chipmunks (2007),Alvin and the Chipmunks,265558200,14,12,4,1,2007
82,PG,Fox,2009-12-23,Family Comedy,75000000,88,Alvin and the Chipmunks: The Squeakquel (2009),Alvin and the Chipmunks:The Squeakquel,242847600,23,12,4,0,2009
83,PG,Fox Searchlight,2009-10-23,Historical Drama,40000000,120,Amelia (2009),Amelia,16059400,23,10,4,0,2009
84,R,Miramax,2001-11-02,Foreign,10000000,122,Amelie (2001),Amelie,49638100,2,11,4,0,2001
85,R,Focus Features,2010-09-01,Drama / Thriller,20000000,105,The American (2010),The American,38428000,1,9,3,0,2010
86,R,DreamWorks,1999-09-15,Drama,15000000,122,American Beauty (1999),American Beauty,213942700,15,9,3,1,1999
87,PG-13,Vivendi Entertainment,2008-10-03,Comedy,20000000,83,An American Carol (2008),An American Carol,8380700,3,10,4,0,2008
88,PG-13,Universal,2006-04-21,Comedy,17000000,107,American Dreamz (2006),American Dreamz,9420800,21,4,2,0,2006
89,R,Universal,2007-11-02,Crime Drama,100000000,160,American Gangster (2007),American Gangster,162252400,2,11,4,0,2007
90,PG-13,Freestyle Releasing,2006-05-05,Horror,14000000,90,An American Haunting (2006),An American Haunting,21349200,5,5,2,0,2006
91,R,Universal,1999-07-09,Comedy,11000000,95,American Pie (1999),American Pie,173223100,9,7,3,0,1999
92,R,Universal,2001-08-10,Comedy,30000000,104,American Pie 2 (2001),American Pie 2,219962700,10,8,3,0,2001
93,R,Universal,2012-04-06,Comedy,50000000,113,American Reunion (2012),American Reunion,60241200,6,4,2,0,2012
94,R,Lionsgate,2015-08-21,Action Comedy,28000000,96,American Ultra (2015),American Ultra,15013900,21,8,3,0,2015
95,R,Universal,2003-08-01,Comedy,55000000,102,American Wedding (2003),American Wedding,148784200,1,8,3,0,2003
96,R,Buena Vista,1997-12-25,Horror Comedy,25000000,98,An American Werewolf in Paris (1997),An American Werewolf in Paris,48743600,25,12,4,0,1997
97,PG-13,Sony (Revolution),2001-07-20,Romantic Comedy,46000000,102,America's Sweethearts (2001),America's Sweethearts,141900000,20,7,3,0,2001
98,R,DreamWorks,1997-12-10,Period Drama,36000000,152,Amistad (1997),Amistad,81416300,10,12,4,0,1997
99,R,MGM,2005-04-15,Horror,19000000,89,The Amityville Horror (2005) (2005),The Amityville Horror (2005),87317000,15,4,2,0,2005
100,PG-13,Sony / Screen Gems,2004-08-27,Horror,20000000,93,Anacondas: The Hunt for the Blood Orchid (2004),Anacondas:The Hunt for the Blood Orchid,44542700,27,8,3,0,2004
101,R,Warner Bros.,2002-12-06,Crime Comedy,60000000,100,Analyze That (2002),Analyze That,47108000,6,12,4,0,2002
102,PG-13,DreamWorks,2004-07-09,Comedy,26000000,91,Anchorman: The Legend of Ron Burgundy (2004),Anchorman:The Legend of Ron Burgundy,117838000,9,7,3,0,2004
103,R,DreamWorks,2000-12-22,Unknown,14000000,103,An Everlasting Piece (2000),An Everlasting Piece,115800,22,12,4,0,2000
104,R,Warner Bros.,2001-05-18,Romance,53000000,102,Angel Eyes (2001),Angel Eyes,36645700,18,5,2,0,2001
105,PG-13,Sony / Columbia,2009-05-15,Thriller,150000000,140,Angels & Demons (2009),Angels & Demons,159382300,15,5,2,0,2009
106,PG-13,Sony (Revolution),2003-04-11,Comedy,75000000,101,Anger Management (2003),Anger Management,193008500,11,4,2,0,2003
107,PG,Sony / Columbia,2016-05-20,Animation,73000000,97,The Angry Birds Movie (2016),The Angry Birds Movie,106126500,20,5,2,0,2016
108,PG-13,Sony (Revolution),2001-06-01,Comedy,47000000,83,The Animal (2001),The Animal,87532800,1,6,2,0,2001
109,PG-13,Fox,1999-12-17,Period Drama,92000000,148,Anna and the King (1999),Anna and the King,64382600,17,12,4,1,1999
110,PG,Sony / Columbia,2014-12-19,Musical,65000000,118,Annie (2014) (2014),Annie (2014),90108400,19,12,4,1,2014
111,R,Paramount,2015-12-30,Animation,8000000,90,Anomalisa (2015),Anomalisa,3758300,30,12,4,1,2015
112,PG-13,Sony / Columbia,2011-10-28,Period Drama,30000000,130,Anonymous (2011),Anonymous,4890800,28,10,4,1,2011
113,PG,Buena Vista,2006-02-17,Adventure,40000000,112,Eight Below (2006),Eight Below,106906200,17,2,1,0,2006
114,PG,Warner Bros.,2006-07-28,Animation,50000000,82,The Ant Bully (2006),The Ant Bully,36864600,28,7,3,0,2006
115,PG-13,Buena Vista,2015-07-17,Action / Adventure,130000000,117,Ant-Man (2015),Ant-Man,187285300,17,7,3,0,2015
116,PG,DreamWorks,1998-10-02,Animation,105000000,84,Antz (1998),Antz,165741200,2,10,4,0,1998
117,R,Warner Bros.,1999-12-22,Sports Drama,55000000,157,Any Given Sunday (1999),Any Given Sunday,123544600,22,12,4,0,1999
118,R,DreamWorks,2003-09-19,Romantic Comedy,18000000,108,Anything Else (2003),Anything Else,4570700,19,9,3,0,2003
119,PG-13,Fox,1999-11-12,Drama,23000000,114,Anywhere But Here (1999),Anywhere But Here,31472200,12,11,4,0,1999
120,R,Universal,2012-12-21,Comedy,35000000,133,This Is 40 (2012),This Is 40,72635500,21,12,4,0,2012
121,R,Buena Vista,2006-12-08,Period Adventure,40000000,138,Apocalypto (2006),Apocalypto,65910300,8,12,4,0,2006
122,PG-13,Weinstein / Dimension,2011-09-02,Sci-Fi Thriller,5000000,86,Apollo 18 (2011),Apollo 18,19113400,2,9,3,0,2011
123,R,Warner Bros. (New Line),2008-09-19,Western,20000000,108,Appaloosa (2008),Appaloosa,24152300,19,9,3,0,2008
124,PG-13,Warner Bros.,2012-08-24,Thriller,17000000,82,The Apparition (2012),The Apparition,5216500,24,8,3,0,2012
125,PG,Fox,2006-03-03,Family Comedy,12000000,109,Aquamarine (2006),Aquamarine,24361100,3,3,1,0,2006
126,R,First Look,2007-04-13,Animation,750000,87,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),Aqua Teen Hunger Force Colon Movie Film for Theaters,6884400,13,4,2,0,2007
127,R,Focus Features,2014-01-31,Romantic Comedy,8000000,94,That Awkward Moment (2014),That Awkward Moment,28096500,31,1,1,0,2014
128,PG,Sony (Revolution),2005-01-21,Family Comedy,32000000,94,Are We There Yet? (2005),Are We There Yet?,110662500,21,1,1,0,2005
129,PG-13,Buena Vista,1998-07-01,Sci-Fi Action,140000000,144,Armageddon (1998),Armageddon,368772000,1,7,3,0,1998
130,PG-13,Sony / Screen Gems,2009-12-04,Thriller,20000000,88,Armored (2009),Armored,18003200,4,12,4,0,2009
