DATE,CPIAUCSL
2005-01-01,191.600
2005-02-01,192.400
2005-03-01,193.100
2005-04-01,193.700
2005-05-01,193.600
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
2007-01-01,203.437
2007-02-01,204.226
2007-03-01,205.288
2007-04-01,205.904
2007-05-01,206.755
2007-06-01,207.234
2007-07-01,207.603
2007-08-01,207.667
2007-09-01,208.547
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.933
2009-02-01,212.705
2009-03-01,212.495
2009-04-01,212.709
2009-05-01,213.022
2009-06-01,214.790
2009-07-01,214.726
2009-08-01,215.445
2009-09-01,215.861
2009-10-01,216.509
2009-11-01,217.234
2009-12-01,217.347
2010-01-01,217.488
2010-02-01,217.281
2010-03-01,217.353
2010-04-01,217.403
2010-05-01,217.290
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.590
2010-12-01,220.472
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.806
2011-06-01,224.806
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.860
2012-02-01,228.377
2012-03-01,228.894
2012-04-01,229.286
2012-05-01,228.722
2012-06-01,228.506
2012-07-01,228.475
2012-08-01,229.844
2012-09-01,230.987
2012-10-01,231.655
2012-11-01,231.278
2012-12-01,231.272
2013-01-01,231.641
2013-02-01,233.005
2013-03-01,232.313
2013-04-01,231.856
2013-05-01,231.895
2013-06-01,232.357
2013-07-01,232.749
2013-08-01,233.249
2013-09-01,233.642
2013-10-01,233.799
2013-11-01,234.210
2013-12-01,234.847
2014-01-01,235.436
2014-02-01,235.621
2014-03-01,235.897
2014-04-01,236.495
2014-05-01,236.803
2014-06-01,237.016
2014-07-01,237.259
2014-08-01,237.163
2014-09-01,237.510
2014-10-01,237.651
2014-11-01,237.261
2014-12-01,236.464
2015-01-01,234.954
2015-02-01,235.415
2015-03-01,235.859
2015-04-01,236.197
2015-05-01,236.876
2015-06-01,237.423
2015-07-01,237.734
2015-08-01,237.703
2015-09-01,237.489
2015-10-01,237.949
2015-11-01,238.302
2015-12-01,238.041
2016-01-01,238.107
2016-02-01,237.707
2016-03-01,237.920
2016-04-01,238.890
2016-05-01,239.410
2016-06-01,239.927
