year,winter_end,summer_start,summer_end,winter_start,valentines,presidents,easter1,easter2,easter3,easter24,mothers,independence,halloween,thanksgiving1,thanksgiving2,blackfriday,blacksaturday,blacksunday,christmaseve,christmas,newyearseve,newyears
2036,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,18-Feb,10-Apr,11-Apr,12-Apr,13-Apr,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2037,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,2-Apr,3-Apr,4-Apr,5-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2038,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,22-Apr,23-Apr,24-Apr,25-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2039,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,7-Apr,8-Apr,9-Apr,10-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2040,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,20-Feb,29-Mar,30-Mar,31-Mar,1-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2041,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,18-Apr,19-Apr,20-Apr,21-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
2042,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,17-Feb,3-Apr,4-Apr,5-Apr,6-Apr,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2043,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,26-Mar,27-Mar,28-Mar,29-Mar,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2044,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,15-Feb,14-Apr,15-Apr,16-Apr,17-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2045,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,20-Feb,6-Apr,7-Apr,8-Apr,9-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2046,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,22-Mar,23-Mar,24-Mar,25-Mar,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2047,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,11-Apr,12-Apr,13-Apr,14-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
2048,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,17-Feb,2-Apr,3-Apr,4-Apr,5-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
2049,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,15-Apr,16-Apr,17-Apr,18-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
