DATE,CUSR0000SS62031
2005-01-01,135.000
2005-02-01,135.500
2005-03-01,135.200
2005-04-01,135.400
2005-05-01,137.000
2005-06-01,138.000
2005-07-01,138.100
2005-08-01,138.000
2005-09-01,137.800
2005-10-01,137.800
2005-11-01,137.900
2005-12-01,138.200
2006-01-01,138.700
2006-02-01,139.000
2006-03-01,139.600
2006-04-01,140.000
2006-05-01,140.700
2006-06-01,142.100
2006-07-01,142.300
2006-08-01,142.400
2006-09-01,143.000
2006-10-01,143.800
2006-11-01,144.500
2006-12-01,145.700
2007-01-01,146.873
2007-02-01,146.788
2007-03-01,147.279
2007-04-01,148.053
2007-05-01,147.807
2007-06-01,146.816
2007-07-01,146.826
2007-08-01,145.781
2007-09-01,146.834
2007-10-01,148.219
2007-11-01,148.806
2007-12-01,148.620
2008-01-01,149.404
2008-02-01,149.380
2008-03-01,149.993
2008-04-01,149.302
2008-05-01,149.781
2008-06-01,149.658
2008-07-01,150.413
2008-08-01,151.822
2008-09-01,152.102
2008-10-01,152.046
2008-11-01,152.615
2008-12-01,152.546
2009-01-01,152.840
2009-02-01,153.583
2009-03-01,153.608
2009-04-01,149.305
2009-05-01,149.799
2009-06-01,153.013
2009-07-01,153.606
2009-08-01,155.574
2009-09-01,154.168
2009-10-01,153.445
2009-11-01,154.075
2009-12-01,153.725
2010-01-01,153.411
2010-02-01,153.701
2010-03-01,153.358
2010-04-01,153.973
2010-05-01,155.024
2010-06-01,156.466
2010-07-01,157.111
2010-08-01,157.372
2010-09-01,156.636
2010-10-01,156.014
2010-11-01,155.761
2010-12-01,156.175
2011-01-01,156.677
2011-02-01,156.882
2011-03-01,156.833
2011-04-01,155.909
2011-05-01,157.739
2011-06-01,157.685
2011-07-01,157.391
2011-08-01,158.099
2011-09-01,157.549
2011-10-01,157.065
2011-11-01,155.496
2011-12-01,156.006
2012-01-01,159.002
2012-02-01,157.399
2012-03-01,157.287
2012-04-01,157.378
2012-05-01,158.141
2012-06-01,161.967
2012-07-01,162.377
2012-08-01,161.244
2012-09-01,160.907
2012-10-01,162.113
2012-11-01,161.144
2012-12-01,161.796
2013-01-01,161.916
2013-02-01,160.993
2013-03-01,160.553
2013-04-01,159.256
2013-05-01,160.510
2013-06-01,161.467
2013-07-01,162.398
2013-08-01,162.856
2013-09-01,162.042
2013-10-01,161.667
2013-11-01,163.660
2013-12-01,163.864
2014-01-01,164.399
2014-02-01,163.979
2014-03-01,164.024
2014-04-01,165.024
2014-05-01,164.717
2014-06-01,165.117
2014-07-01,166.455
2014-08-01,165.932
2014-09-01,164.893
2014-10-01,164.230
2014-11-01,163.637
2014-12-01,164.586
2015-01-01,164.704
2015-02-01,166.217
2015-03-01,168.106
2015-04-01,168.730
2015-05-01,168.981
2015-06-01,168.494
2015-07-01,168.777
2015-08-01,168.727
2015-09-01,168.254
2015-10-01,168.526
2015-11-01,169.546
2015-12-01,171.884
2016-01-01,170.532
2016-02-01,170.635
2016-03-01,174.620
2016-04-01,174.936
2016-05-01,175.455
2016-06-01,176.303
