DATE,USD1MTD156N
2005-11-25,4.21000
2005-11-28,4.22000
2005-11-29,4.29063
2005-11-30,4.29375
2005-12-01,4.31125
2005-12-02,4.32000
2005-12-05,4.33125
2005-12-06,4.33938
2005-12-07,4.34000
2005-12-08,4.36000
2005-12-09,4.36188
2005-12-12,4.36750
2005-12-13,4.36938
2005-12-14,4.37000
2005-12-15,4.37000
2005-12-16,4.37000
2005-12-19,4.37000
2005-12-20,4.37000
2005-12-21,4.37000
2005-12-22,4.37875
2005-12-23,4.38000
2005-12-26,.
2005-12-27,.
2005-12-28,4.38875
2005-12-29,4.38500
2005-12-30,4.39000
2006-01-02,.
2006-01-03,4.39750
2006-01-04,4.40000
2006-01-05,4.41875
2006-01-06,4.42000
2006-01-09,4.43688
2006-01-10,4.44000
2006-01-11,4.44163
2006-01-12,4.47000
2006-01-13,4.47000
2006-01-16,4.48000
2006-01-17,4.48313
2006-01-18,4.49000
2006-01-19,4.51000
2006-01-20,4.51938
2006-01-23,4.53000
2006-01-24,4.53375
2006-01-25,4.54000
2006-01-26,4.56000
2006-01-27,4.56813
2006-01-30,4.57000
2006-01-31,4.57000
2006-02-01,4.57063
2006-02-02,4.57038
2006-02-03,4.57000
2006-02-06,4.57000
2006-02-07,4.57000
2006-02-08,4.57000
2006-02-09,4.57000
2006-02-10,4.57000
2006-02-13,4.57000
2006-02-14,4.57000
2006-02-15,4.57000
2006-02-16,4.57000
2006-02-17,4.57000
2006-02-20,4.57000
2006-02-21,4.57000
2006-02-22,4.57125
2006-02-23,4.58063
2006-02-24,4.60500
2006-02-27,4.63000
2006-02-28,4.63313
2006-03-01,4.64000
2006-03-02,4.66063
2006-03-03,4.67000
2006-03-06,4.69000
2006-03-07,4.69125
2006-03-08,4.69813
2006-03-09,4.72000
2006-03-10,4.74000
2006-03-13,4.74875
2006-03-14,4.75094
2006-03-15,4.75250
2006-03-16,4.77625
2006-03-17,4.78000
2006-03-20,4.79375
2006-03-21,4.80000
2006-03-22,4.80938
2006-03-23,4.81813
2006-03-24,4.82063
2006-03-27,4.82188
2006-03-28,4.82250
2006-03-29,4.82875
2006-03-30,4.82563
2006-03-31,4.82938
2006-04-03,4.83000
2006-04-04,4.83750
2006-04-05,4.84000
2006-04-06,4.84875
2006-04-07,4.85188
2006-04-10,4.86000
2006-04-11,4.88000
2006-04-12,4.90125
2006-04-13,4.91000
2006-04-14,.
2006-04-17,.
2006-04-18,4.92250
2006-04-19,4.92938
2006-04-20,4.95000
2006-04-21,4.95938
2006-04-24,4.97000
2006-04-25,4.98938
2006-04-26,5.00000
2006-04-27,5.02250
2006-04-28,5.04000
2006-05-01,.
2006-05-02,5.05188
2006-05-03,5.05875
2006-05-04,5.06913
2006-05-05,5.07563
2006-05-08,5.08000
2006-05-09,5.08000
2006-05-10,5.08000
2006-05-11,5.08063
2006-05-12,5.08063
2006-05-15,5.08063
2006-05-16,5.08063
2006-05-17,5.08000
2006-05-18,5.08063
2006-05-19,5.08000
2006-05-22,5.08063
2006-05-23,5.08125
2006-05-24,5.08125
2006-05-25,5.09063
2006-05-26,5.09250
2006-05-29,.
2006-05-30,5.10906
2006-05-31,5.11063
2006-06-01,5.12938
2006-06-02,5.13750
2006-06-05,5.13000
2006-06-06,5.14475
2006-06-07,5.15000
2006-06-08,5.17000
2006-06-09,5.17625
2006-06-12,5.18375
2006-06-13,5.19875
2006-06-14,5.20813
2006-06-15,5.25188
2006-06-16,5.26688
2006-06-19,5.27938
2006-06-20,5.29438
2006-06-21,5.30219
2006-06-22,5.32250
2006-06-23,5.33500
2006-06-26,5.34063
2006-06-27,5.35000
2006-06-28,5.35000
2006-06-29,5.34625
2006-06-30,5.33438
2006-07-03,5.33375
2006-07-04,5.33438
2006-07-05,5.33688
2006-07-06,5.34500
2006-07-07,5.34938
2006-07-10,5.35563
2006-07-11,5.35688
2006-07-12,5.35875
2006-07-13,5.36875
2006-07-14,5.36875
2006-07-17,5.37000
2006-07-18,5.37813
2006-07-19,5.38913
2006-07-20,5.40000
2006-07-21,5.38500
2006-07-24,5.39375
2006-07-25,5.39813
2006-07-26,5.40000
2006-07-27,5.40000
2006-07-28,5.40188
2006-07-31,5.39063
2006-08-01,5.39000
2006-08-02,5.39563
2006-08-03,5.40625
2006-08-04,5.42000
2006-08-07,5.36813
2006-08-08,5.37000
2006-08-09,5.33000
2006-08-10,5.33000
2006-08-11,5.33000
2006-08-14,5.33000
2006-08-15,5.33000
2006-08-16,5.33000
2006-08-17,5.32500
2006-08-18,5.32563
2006-08-21,5.32438
2006-08-22,5.32563
2006-08-23,5.32438
2006-08-24,5.32813
2006-08-25,5.33000
2006-08-28,.
2006-08-29,5.33000
2006-08-30,5.33000
2006-08-31,5.33000
2006-09-01,5.33000
2006-09-04,5.33000
2006-09-05,5.33000
2006-09-06,5.33000
2006-09-07,5.33000
2006-09-08,5.33000
2006-09-11,5.33000
2006-09-12,5.33000
2006-09-13,5.33000
2006-09-14,5.33000
2006-09-15,5.33000
2006-09-18,5.33000
2006-09-19,5.33000
2006-09-20,5.33000
2006-09-21,5.33000
2006-09-22,5.32625
2006-09-25,5.32600
2006-09-26,5.32375
2006-09-27,5.32438
2006-09-28,5.32250
2006-09-29,5.32188
2006-10-02,5.32250
2006-10-03,5.32125
2006-10-04,5.32000
2006-10-05,5.32000
2006-10-06,5.32000
2006-10-09,5.32000
2006-10-10,5.32000
2006-10-11,5.32000
2006-10-12,5.32000
2006-10-13,5.32000
2006-10-16,5.32000
2006-10-17,5.32000
2006-10-18,5.32000
2006-10-19,5.32000
2006-10-20,5.32000
2006-10-23,5.32000
2006-10-24,5.32000
2006-10-25,5.32000
2006-10-26,5.32000
2006-10-27,5.32000
2006-10-30,5.32000
2006-10-31,5.32000
2006-11-01,5.32000
2006-11-02,5.32000
2006-11-03,5.32000
2006-11-06,5.32000
2006-11-07,5.32000
2006-11-08,5.32000
2006-11-09,5.32000
2006-11-10,5.32000
2006-11-13,5.32000
2006-11-14,5.32000
2006-11-15,5.32000
2006-11-16,5.32000
2006-11-17,5.32000
2006-11-20,5.32000
2006-11-21,5.32000
2006-11-22,5.32000
2006-11-23,5.32000
2006-11-24,5.32000
2006-11-27,5.32000
2006-11-28,5.32000
2006-11-29,5.34938
2006-11-30,5.35000
2006-12-01,5.35000
2006-12-04,5.35000
2006-12-05,5.35000
2006-12-06,5.35000
2006-12-07,5.35000
2006-12-08,5.35000
2006-12-11,5.35000
2006-12-12,5.35000
2006-12-13,5.35000
2006-12-14,5.35000
2006-12-15,5.35000
2006-12-18,5.35000
2006-12-19,5.35000
2006-12-20,5.35000
2006-12-21,5.35000
2006-12-22,5.35000
2006-12-25,.
2006-12-26,.
2006-12-27,5.35000
2006-12-28,5.32563
2006-12-29,5.32188
2007-01-01,.
2007-01-02,5.32063
2007-01-03,5.32000
2007-01-04,5.32000
2007-01-05,5.32000
