title,link
50/50,https://www.rottentomatoes.com/m/5050_2011/reviews/?type=top_critics
crazy/beautiful,https://www.rottentomatoes.com/m/crazy-beautiful/reviews/?type=top_critics
Fahrenheit 9/11,https://www.rottentomatoes.com/m/fahrenheit_911/reviews/?type=top_critics
Frost/Nixon,https://www.rottentomatoes.com/m/frostnixon/reviews/?type=top_critics
Self/Less,https://www.rottentomatoes.com/m/selfless_2015/reviews/?type=top_critics
